-84.518889,38.056013,Barrel House Distilling (craft),(859) 259-0159,1200 Manchester St,Lexington,Kentucky,40504-1129,USA
-85.477861,37.804797,Barton 1792 Distillery Mon thru Sat 9am - 3pm,866-239-4690,501 Cathedral Manor,Bardstown,KY,,USA
-84.6136,38.946974,Boone County Distilling public hours; Wed thru Sat noon - 5pm; Sun noon - 4pm; Tour Times (everyday):; 12:30pm / 2:00pm / 3:30pm,859-282-6545,10601 Toebben Drive,Boone County,KY,,USA
-85.911192,37.797432,Boundary Oak Distillery Tue thru Fri noon - 6pm; Sat 10am - 6pm,270-351-2013,2000 Boundary Oak Dr,Radcliff,KY,,USA
-84.870889,38.216692,Buffalo Trace Distillery (Nat Hist Landmark) Mon thru Sat 9am - 4pm; Sun noon - 3pm; National Historic Landmark,502-696-5926,113 Great Buffalo Trace,Frankfort,KY,,USA
-85.807181,38.210244,Bulleit Frontier Whiskey Experience,502.810.3800,3860 Fitzgerald Road,Louisville,KY,,USA
-87.551446,36.911366,Casey Jones Distillery Tue thru Sat 10am - 6pm,270-839-9987,2813 Witty Ln,Hopkinsville,KY,,USA
-84.832376,38.146191,Castle & Key Distillery,(859) 873-2481,4445 McCracken Pike,Frankfort,KY,,USA
-86.44135,36.993822,Corsair Artisan Distillery (craft),(270) 904-2021,400 E Main St,Bowling Green,Kentucky,42101,USA
-85.759468,38.256526,Evan Williams Bourbon Experience,(502) 585-3923,528 W Main St,Louisville,Kentucky,40202-2920,USA
-84.898085,37.973035,Four Roses Distillery,(502) 839-2655,1224 Bonds Mill Rd,Lawrenceburg,Kentucky,40342-9734,USA
-84.24894,38.211741,Hartfield & Co (Pritchard & Bail) Tue thru Fri 8am -6pm; Sat 10am - 6pm; Prichard and Bail; Thu thru Sat 5 - 11pm; A unique experience in cocktail culture founded on pre-prohibition style techniques and fundamentals; all built right inside Hartfield & Co.; Prichard and Bail is a new and curated experience drawing on the ideas and beliefs that cocktails are best made fresh and with quality ingredients; beer is best served from a local source and wine can be a ride along the terrain and vine all contained in a bottle.,859-559-3494,108 East 4th St,Paris,KY,,USA
-85.464166,37.793613,Heaven Hill Bourbon Heritage Center rum - Admiral Nelson's Spiced; Aqua Luca Brazilian; Blackheart; vodka - Burnett's; liqueurs - Hypnotiq; O'Mara's Irsh Cream; brandy - Christian Brothers; Coronet; Ansac; bourbon - Elijah Craig; Evan Williams; Henry McKenna; Parker's Heritage; Fighting Cock; tequila - Lunazul; Arandas; gin - Burnett's,(502) 337-1000,1311 Gilkey Run Rd,Bardstown,Kentucky,40004-2201,USA
-85.653959,37.930807,Jim Beam American Stillhouse,(502) 543-9877,526 Happy Hollow Rd,Clermont,Kentucky,40110,USA
-85.463371,38.336085,Kentucky Artisan Distillery tours; Tue thru Fri 10am - 4pm; Sat 10am - 2pm; start at top of every hour - 50 minutes,(502) 822-3042,6230 Old LaGrange Rd,Crestwood,KY,,USA
-85.766811,38.258608,Kentucky Peerless Distilling Retail and Distillery Tours; Wed thru Sat 10am - 5pm; (tours at 10:30; 11:30; 12:30; 1:30; 2:30; 3:30),(502) 566-4999,120 N 10th St,Louisville,KY,,USA
-85.26572,37.585507,Limestone Branch Distillery (craft),(270) 699-9004,1280 Veterans Memorial Hwy,Lebanon,Kentucky,,USA
-87.392098,36.702426,MB Roland Distillery (craft),(270) 640-7744,137 Barkers Mill Rd,Pembroke,Kentucky,42266-9437,USA
-85.349557,37.648098,Maker's Mark Distillery,(270) 865-2099,3350 Burkes Spring Rd,Loretto,Kentucky,40037-8027,USA
-84.488773,39.100665,New Riff Distillery tours; Tue thru Thu 4 / 5 / 6pm; Fri & Sat noon / 1 / 2 / 3 /4 / 5 / 6; Sun noon / 1 / 2 / 3,859-261-7433,24 Distillery Way,Newport,KY,,USA
-87.138101,37.778452,O.Z. Tyler Distillery Mon thru Fri 10am - 3pm CST; Tours; Mon thru Fri 11am - 2pm CST,270-691-9001,10 Distillery Rd,Owensboro,KY,,USA
-83.779385,38.662157,The Old Pogue Distillery (craft),www.oldpogue.com,716 W 2nd St,Maysville,Kentucky,41056-9777,USA
-84.509606,38.049711,Town Branch Distillery,(869) 255-2337,420 Cross St,Lexington,Kentucky,40508-2867,USA
-84.849865,38.038106,Wild Turkey Distillery Wild Turkey & Russell's Reserve,(502) 839-2182,1417 Versailles Rd,Lawrenceburg,Kentucky,40342-9624,USA
-84.830093,37.619107,Wilderness Trail Distillery Tue thru Sat 10am - 4pm; Tours start on the hour.,859-402-8707,4095 Lebanon Rd,Danville,KY,,USA
-85.466206,37.786068,Willett Distillery (craft),(502) 348-0899,1869 Loretto Rd,Bardstown,Kentucky,40004-2200,USA
-84.812736,38.112759,Woodford Reserve Distillery,(859) 879-1812,7855 McCracken Pike,Versailles,Kentucky,40383-9781,USA
